# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1799923at2	Complete	NZ_CADHBV010000008.1	6395	6763	+	124.5	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Fragmented	NZ_CADHBV010000001.1	55493	55068	-	126.9	108	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NZ_CADHBV010000010.1	43571	43948	+	84.5	84	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NZ_CADHBV010000002.1	70919	70518	-	45.3	66	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	NZ_CADHBV010000004.1	76990	77592	+	63.7	83	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NZ_CADHBV010000012.1	30016	30438	+	65.7	70	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NZ_CADHBV010000008.1	14877	15227	+	80.5	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NZ_CADHBV010000017.1	21627	20977	-	30.1	75	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NZ_CADHBV010000001.1	382918	383841	+	136.5	180	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NZ_CADHBV010000003.1	65169	65642	+	112.1	107	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Fragmented	NZ_CADHBV010000008.1	9537	9938	+	57.1	54	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NZ_CADHBV010000002.1	12206	12907	+	65.2	105	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NZ_CADHBV010000008.1	4136	4417	+	120.6	72	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NZ_CADHBV010000001.1	285449	285715	+	119.7	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Fragmented	NZ_CADHBV010000001.1	86288	85713	-	48.7	55	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NZ_CADHBV010000001.1	108757	109107	+	108.1	93	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NZ_CADHBV010000012.1	43644	43874	+	96.2	69	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Missing
1940575at2	Complete	NZ_CADHBV010000008.1	60531	60788	+	73.0	48	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NZ_CADHBV010000001.1	285120	285434	+	105.0	99	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NZ_CADHBV010000006.1	6787	7236	+	68.0	83	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NZ_CADHBV010000008.1	8703	9059	+	90.0	102	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	NZ_CADHBV010000001.1	415230	415565	+	53.5	111	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NZ_CADHBV010000008.1	2997	3278	+	51.0	83	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NZ_CADHBV010000001.1	424620	424892	+	90.1	65	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NZ_CADHBV010000018.1	4105	4446	+	42.5	77	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NZ_CADHBV010000001.1	46463	46732	+	55.6	64	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NZ_CADHBV010000008.1	1385	1699	+	117.3	87	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NZ_CADHBV010000008.1	6132	6392	+	52.8	57	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NZ_CADHBV010000008.1	6763	6984	+	37.4	43	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NZ_CADHBV010000001.1	108468	108662	+	35.6	31	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NZ_CADHBV010000008.1	5918	6118	+	21.7	38	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NZ_CADHBV010000008.1	12001	12219	+	75.1	55	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NZ_CADHBV010000001.1	314713	315117	+	21.6	48	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
