#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CADHBV010000001.1:303576-304196|- -            207 1502854at2           -            192   7.3e-67  221.2   0.0   1   1   7.6e-69   8.6e-67  221.0   0.0     7   185     6   183     1   189 0.97 NZ_CADHBV010000001.1_281 # 303576 # 304196 # -1 # ID=1_281;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
NZ_CADHBV010000001.1:228750-230300|- -            517 1502854at2           -            192    0.0017   14.5   0.2   2   2     0.039       4.4    3.3   0.1    11    27   303   319   296   325 0.83 NZ_CADHBV010000001.1_215 # 228750 # 230300 # -1 # ID=1_215;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.410
NZ_CADHBV010000002.1:102439-103110|+ -            224 1502854at2           -            192    0.0019   14.4   0.0   1   1   2.7e-05     0.003   13.7   0.0     5    26    30    51    27    58 0.85 NZ_CADHBV010000002.1_90 # 102439 # 103110 # 1 # ID=2_90;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414
NZ_CADHBV010000012.1:18232-18978|-   -            249 1502854at2           -            192    0.0026   13.9   0.0   1   1   4.5e-05     0.005   12.9   0.0     5    27    29    51    26    57 0.88 NZ_CADHBV010000012.1_16 # 18232 # 18978 # -1 # ID=12_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.378
NZ_CADHBV010000004.1:54542-55927|-   -            462 1502854at2           -            192     0.003   13.7   0.2   1   2     0.022       2.4    4.2   0.0     7    44     9    46     4    56 0.84 NZ_CADHBV010000004.1_54 # 54542 # 55927 # -1 # ID=4_54;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.402
NZ_CADHBV010000004.1:54542-55927|-   -            462 1502854at2           -            192     0.003   13.7   0.2   2   2    0.0032      0.35    6.9   0.0    11    42   204   235   195   242 0.89 NZ_CADHBV010000004.1_54 # 54542 # 55927 # -1 # ID=4_54;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.402
NZ_CADHBV010000004.1:57772-58362|+   -            197 1502854at2           -            192    0.0043   13.2   0.7   1   2     0.073       8.2    2.5   0.1     8    29     6    27     3    32 0.82 NZ_CADHBV010000004.1_57 # 57772 # 58362 # 1 # ID=4_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.377
NZ_CADHBV010000004.1:57772-58362|+   -            197 1502854at2           -            192    0.0043   13.2   0.7   2   2   0.00062      0.07    9.2   0.1   113   182   122   190    96   195 0.72 NZ_CADHBV010000004.1_57 # 57772 # 58362 # 1 # ID=4_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.377
NZ_CADHBV010000002.1:98443-98907|-   -            155 1502854at2           -            192    0.0045   13.1   0.6   1   2   8.2e-05    0.0092   12.1   0.0     5    29    44    68    40    91 0.86 NZ_CADHBV010000002.1_86 # 98443 # 98907 # -1 # ID=2_86;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CADHBV010000002.1:98443-98907|-   -            155 1502854at2           -            192    0.0045   13.1   0.6   2   2      0.88        99   -1.1   0.1   142   166   108   134    98   152 0.56 NZ_CADHBV010000002.1_86 # 98443 # 98907 # -1 # ID=2_86;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CADHBV010000022.1:2160-2735|-     -            192 1502854at2           -            192    0.0072   12.4   0.6   1   2    0.0016      0.18    7.9   0.0     5    32     1    28     1    36 0.82 NZ_CADHBV010000022.1_4 # 2160 # 2735 # -1 # ID=22_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CADHBV010000022.1:2160-2735|-     -            192 1502854at2           -            192    0.0072   12.4   0.6   2   2     0.076       8.5    2.4   0.1   126   178   119   170   104   186 0.73 NZ_CADHBV010000022.1_4 # 2160 # 2735 # -1 # ID=22_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CADHBV010000001.1:385650-387305|+ -            552 1502854at2           -            192    0.0093   12.1   0.1   1   2       4.6   5.2e+02   -3.4   0.1   134   157   182   205   179   219 0.74 NZ_CADHBV010000001.1_356 # 385650 # 387305 # 1 # ID=1_356;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.392
NZ_CADHBV010000001.1:385650-387305|+ -            552 1502854at2           -            192    0.0093   12.1   0.1   2   2   0.00022     0.025   10.7   0.0     4    28   361   385   359   392 0.88 NZ_CADHBV010000001.1_356 # 385650 # 387305 # 1 # ID=1_356;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.392
NZ_CADHBV010000004.1:69396-70046|-   -            217 1502854at2           -            192     0.029   10.5   1.2   1   3   0.00056     0.063    9.4   0.1     5    27    29    51    26    63 0.86 NZ_CADHBV010000004.1_69 # 69396 # 70046 # -1 # ID=4_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.387
NZ_CADHBV010000004.1:69396-70046|-   -            217 1502854at2           -            192     0.029   10.5   1.2   2   3       1.9   2.1e+02   -2.1   0.0    91   114    89   112    64   122 0.71 NZ_CADHBV010000004.1_69 # 69396 # 70046 # -1 # ID=4_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.387
NZ_CADHBV010000004.1:69396-70046|-   -            217 1502854at2           -            192     0.029   10.5   1.2   3   3       1.4   1.6e+02   -1.8   0.0   118   137   184   203   169   214 0.50 NZ_CADHBV010000004.1_69 # 69396 # 70046 # -1 # ID=4_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.387
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /Users/kenny/BMMB852/Week02/Makefile/busco_downloads/lineages/bacteria_odb10/hmms/1502854at2.hmm
# Target file:     /Users/kenny/BMMB852/Week02/Makefile/hpylori_busco/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /Users/kenny/BMMB852/Week02/Makefile/hpylori_busco/run_bacteria_odb10/hmmer_output/1502854at2.out --cpu 1 /Users/kenny/BMMB852/Week02/Makefile/busco_downloads/lineages/bacteria_odb10/hmms/1502854at2.hmm /Users/kenny/BMMB852/Week02/Makefile/hpylori_busco/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /Users/kenny/BMMB852/Week02/Makefile
# Date:            Thu Sep  3 14:18:39 2026
# [ok]
